Name,Preferred Position,Club,Age,Overall
E. Crivelli,ST,Angers SCO,22,74
P. Lasogga,ST,Leeds United,25,74
I. Scocco,ST,River Plate,32,74
D. Falcinelli,ST,Sassuolo,26,74
M. López,ST,Udinese,33,74
G. Carrillo,ST,AS Monaco,26,74
M. Caraglio,ST,Club Atlas,28,74
Suk Hyun Jun,ST,ES Troyes AC,26,74
M. Konaté,ST,Amiens SC Football,24,74
G. Karadeniz,ST,Rubin Kazan,37,74
D. Stracqualursi,ST,Club Atlético Tigre,29,74
D. Lezcano,ST,FC Ingolstadt 04,27,74
K. Panchenko,ST,Dinamo Moscow,27,74
L. Depoitre,ST,Huddersfield Town,28,74
J. Schieber,ST,Hertha BSC Berlin,28,74
Fábio Sturgeon,ST,Vitória Guimarães,23,74
K. Kamara,ST,New England Revolution,32,74
F. Jara,ST,Pachuca,28,74
P. Mpoku,ST,Standard de Liège,25,74
S. Aluko,ST,Reading,28,74
E. Ünal,ST,Villarreal CF,20,74
M. Leye,ST,KAS Eupen,34,74
Bobô,ST,Sydney FC,32,74
Y. Mollo,ST,Fulham,27,74
Nélson Oliveira,ST,Norwich City,25,74
A. Niane,ST,ES Troyes AC,24,74
S. Privat,ST,En Avant de Guingamp,27,74
F. Uribe,ST,Deportivo Toluca,29,74
T. Touré,ST,Angers SCO,23,74
Kim Shin Wook,ST,Jeonbuk Hyundai Motors,29,74
Miguel Rosa,ST,CF Os Belenenses,28,74
C. Obasi,ST,AIK Solna,31,74
H. Seferović,ST,SL Benfica,25,74
E. Cerutti,ST,San Lorenzo de Almagro,25,74
Kléber,ST,Estoril Praia,27,74
J. Gustaldo,ST,Universidad Católica,25,74
M. Janko,ST,Sparta Praha,34,74
T. Bifouma,ST,Medicana Sivasspor,25,74
C. Sortomayrés,ST,Universidad de Chile,25,74
M. Larrondo,ST,River Plate,28,74
A. Plata,ST,Independiente Santa Fe,26,74
L. Ulloa,ST,Leicester City,30,74
T. Usami,ST,Fortuna Düsseldorf,25,74
R. Mora,ST,River Plate,29,74
L. Mchedlidze,ST,Empoli,27,74
I. Santini,ST,SM Caen,28,74
L. Traoré,ST,Amiens SC Football,27,74
G. Sio,ST,Montpellier Hérault SC,28,75
O. Kamara,ST,Columbus Crew SC,27,75
S. García,ST,Godoy Cruz,26,75
Luimo Boas Santos,ST,Clube Atlético Mineiro,29,75
Nicholas Aldair,ST,Sport Club do Recife,25,75
J. Landiso,ST,Unión Española,25,75
B. Wright-Phillips,ST,New York Red Bulls,32,75
C. Wilson,ST,Bournemouth,25,75
F. Mora,ST,Cruz Azul,23,75
A. Hassan,ST,SC Braga,24,75
R. Babel,ST,Beşiktaş JK,30,75
Bruno Moreira,ST,FC Paços de Ferreira,29,75
Fernandão,ST,Fenerbahçe SK,30,75
M. Livaja,ST,AEK Athens,23,75
A. Hernández,ST,Hull City,26,75
H. Villalba,ST,Atlanta United FC,22,75
D. Damjanović,ST,FC Seoul,35,75
J. Calleri,ST,UD Las Palmas,23,75
L. Griffiths,ST,Celtic,26,75
Joselu,ST,Newcastle United,27,75
F. Di Santo,ST,FC Schalke 04,28,75
D. Sakho,ST,West Ham United,27,75
M. Maccarone,ST,Brisbane Roar,37,75
Caiuby,ST,FC Augsburg,28,75
E. Derdiyok,ST,Galatasaray SK,29,75
C. Wood,ST,Burnley,25,75
Ailton Guevara,ST,Clube Atlético Mineiro,25,75
S. Marveaux,ST,FC Lorient,31,75
D. Gayle,ST,Newcastle United,26,75
G. Rivas,ST,Al Hilal,28,75
M. Martins,ST,,30,75
Welthon,ST,FC Paços de Ferreira,25,75
O. Kharbin,ST,Al Hilal,23,75
F. Kamano,ST,Girondins de Bordeaux,21,75
R. Borré,ST,River Plate,21,75
O. Niasse,ST,Everton,27,75
Alex Alegría,ST,Levante UD,24,75
D. Ginczek,ST,VfB Stuttgart,26,75
B. Wood,ST,Hamburger SV,24,75
K. Iheanacho,ST,Leicester City,20,75
G. Shibasaki,ST,Getafe CF,25,75
J. Kodjia,ST,Aston Villa,27,75
E. Gigliotti,ST,Independiente,30,75
S. Floccari,ST,Ferrara (SPAL),35,75
A. Szalai,ST,TSG 1899 Hoffenheim,29,75
A. Mitrović,ST,Newcastle United,22,75
R. Inglese,ST,Chievo Verona,25,75
Kike García,ST,SD Eibar,27,75
M. Dembélé,ST,Celtic,20,75
M. Suárez,ST,Belgrano de Córdoba,29,75
A. Cambrillo,ST,CD O'Higgins,29,75
L. Lereas,ST,Universidad Católica,25,75
R. van Wolfswinkel,ST,FC Basel,28,75
Y. Kubo,ST,KAA Gent,23,75
C. Pavón,ST,Boca Juniors,21,75
O. Toivonen,ST,Toulouse FC,30,75
F. Đorđević,ST,Lazio,29,75
Samu García,ST,Levante UD,27,75
I. Ezekiel,ST,Atiker Konyaspor,23,75
F. Borini,ST,Milan,26,76
M. Destro,ST,Bologna,26,76
A. Paloschi,ST,Ferrara (SPAL),27,76
O. Peralta,ST,Club América,33,76
N. Nikolić,ST,Chicago Fire Soccer Club,29,76
R. Ábila,ST,Club Atlético Huracán,27,76
J. Rodriguez,ST,West Bromwich Albion,27,76
E. Puch,ST,Pachuca,30,76
R. Berić,ST,RSC Anderlecht,26,76
J. Vossen,ST,Club Brugge KV,28,76
B. Fornaroli,ST,Melbourne City,29,76
S. Vokes,ST,Burnley,27,76
N. Petersen,ST,SC Freiburg,28,76
M. Lestienne,ST,Rubin Kazan,25,76
D. Ings,ST,Liverpool,24,76
A. Finnbogason,ST,FC Augsburg,28,76
Agirretxe,ST,Real Sociedad,30,76
S. Berahino,ST,Stoke City,23,76
S. Long,ST,Southampton,30,76
R. Meggiorini,ST,Chievo Verona,31,76
S. Kießling,ST,Bayer 04 Leverkusen,33,76
Éder,ST,Lokomotiv Moscow,29,76
L. Diony,ST,AS Saint-Étienne,24,76
Y. Mutō,ST,1. FSV Mainz 05,24,76
R. Ruidíaz,ST,Monarcas Morelia,26,76
E. Paredes,ST,,36,76
Daniel Podence,ST,Sporting CP,21,76
Mariano,ST,Olympique Lyonnais,23,76
G. Lapadula,ST,Genoa,27,76
A. Delort,ST,Toulouse FC,25,76
F. Niederlechner,ST,SC Freiburg,26,76
F. Ferreyra,ST,Shakhtar Donetsk,26,76
Y. Poulsen,ST,RB Leipzig,23,76
D. Cvitanich,ST,Banfield,33,76
D. Moreno,ST,Atletico Nacional Medellin,31,76
M. Boselli,ST,Club León,32,76
G. Pazzini,ST,Hellas Verona,32,76
N. Castillo,ST,U.N.A.M.,24,76
A. Matri,ST,Sassuolo,32,76
Dyego Sousa,ST,SC Braga,27,76
Roger,ST,Levante UD,26,76
S. Mounié,ST,Huddersfield Town,22,76
K. Babacar,ST,Fiorentina,24,76
L. de Jong,ST,PSV,26,76
J. Altidore,ST,Toronto FC,27,76
I. Sosa,ST,Tigres U.A.N.L.,30,76
K. Huntelaar,ST,Ajax,33,77
N. Redmond,ST,Southampton,23,77
S. Okazaki,ST,Leicester City,31,77
Sergio León,ST,Real Betis Balompié,28,77
L. Pavoletti,ST,Cagliari,28,77
L. Rémy,ST,UD Las Palmas,30,77
E. Choupo-Moting,ST,Stoke City,28,77
G. Hoarau,ST,BSC Young Boys,33,77
P. De Blasis,ST,1. FSV Mainz 05,29,77
N. Blandi,ST,San Lorenzo de Almagro,27,77
Jesé,ST,Stoke City,24,77
A. Gray,ST,Watford,26,77
V. Janssen,ST,Fenerbahçe SK,23,77
C. Théréau,ST,Fiorentina,34,77
J. Córdoba,ST,1. FC Köln,24,77
P. Schick,ST,Roma,21,77
O. Trejo,ST,Rayo Vallecano,29,77
Diogo Jota,ST,Wolverhampton Wanderers,20,77
S. Azmoun,ST,Rubin Kazan,22,77
Rui Fonte,ST,Fulham,27,77
S. Okaka,ST,Watford,27,77
S. Terodde,ST,VfB Stuttgart,29,77
F. Caicedo,ST,Lazio,28,77
Sandro,ST,Everton,21,77
S. Haller,ST,Eintracht Frankfurt,23,77
Charles,ST,SD Eibar,33,77
M. Sabitzer,ST,RB Leipzig,23,78
V. Aboubakar,ST,FC Porto,25,78
J. Guidetti,ST,RC Celta de Vigo,25,78
L. Teodorczyk,ST,RSC Anderlecht,26,78
E. Sala,ST,FC Nantes,26,78
R. Jiménez,ST,SL Benfica,26,78
J. Martínez,ST,Atlanta United FC,24,78
O. Al Soma,ST,Al Ahli,28,78
D. Benedetto,ST,Boca Juniors,27,78
D. Zapata,ST,Sampdoria,26,78
Rafa,ST,SL Benfica,24,78
A. Sanabria,ST,Real Betis Balompié,21,78
R. Funes Mori,ST,Monterrey,26,78
André Silva,ST,Milan,21,78
A. Ruiz,ST,Sporting CP,23,78
T. Gutiérrez,ST,CPD Junior Barranquilla,32,78
M. Niang,ST,Torino,22,78
L. López,ST,Racing Club de Avellaneda,34,78
C. Austin,ST,Southampton,27,78
Rafa,ST,SL Benfica,24,78
C. Tosun,ST,Beşiktaş JK,26,78
B. Yılmaz,ST,Trabzonspor,31,78
Y. Gourcuff,ST,Stade Rennais FC,30,78
M. Borriello,ST,Ferrara (SPAL),35,78
M. Ruben,ST,Rosario Central,30,78
A. Dzyuba,ST,Zenit St. Petersburg,28,78
Borja Bastón,ST,Málaga CF,24,78
J. Guidetti,ST,RC Celta de Vigo,25,78
R. Palacio,ST,Bologna,35,78
R. Funes Mori,ST,Monterrey,26,78
V. Aboubakar,ST,FC Porto,25,78
O. Al Soma,ST,Al Ahli,28,78
M. Sabitzer,ST,RB Leipzig,23,78
J. Farfán,ST,Lokomotiv Moscow,32,78
Paco Alcácer,ST,FC Barcelona,23,79
Soares,ST,FC Porto,26,79
F. Andone,ST,RC Deportivo de La Coruña,24,79
B. Traoré,ST,Olympique Lyonnais,21,79
L. Vietto,ST,Atlético Madrid,23,79
A. Milik,ST,Napoli,23,79
Zé Luís,ST,Spartak Moscow,26,79
N. Jørgensen,ST,Feyenoord,26,79
G. dos Santos,ST,LA Galaxy,28,79
W. Bony,ST,Swansea City,28,79
Jonathas,ST,Hannover 96,28,79
G. Bou,ST,Club Tijuana,27,79
S. Wagner,ST,TSG 1899 Hoffenheim,29,79
Bojan,ST,Deportivo Alavés,26,79
A. Gyan,ST,Kayserispor,31,79
B. Gomis,ST,Galatasaray SK,31,79
Negredo,ST,Beşiktaş JK,31,79
M. Gabbiadini,ST,Southampton,25,79
M. Batshuayi,ST,Chelsea,23,80
V. Germain,ST,Olympique de Marseille,27,80
Sergi Enrich,ST,SD Eibar,27,80
L. Muriel,ST,Sevilla FC,26,80
S. Rondón,ST,West Bromwich Albion,27,80
V. Ibišević,ST,Hertha BSC Berlin,32,80
D. Welbeck,ST,Arsenal,26,80
T. Walcott,ST,Arsenal,28,80
S. Kalou,ST,Hertha BSC Berlin,31,80
J. Defoe,ST,Bournemouth,34,80
F. Smolov,ST,FC Krasnodar,27,80
Gabriel Jesus,ST,Manchester City,20,81
J. Vardy,ST,Leicester City,30,81
S. Zaza,ST,Valencia CF,26,81
W. Ben Yedder,ST,Sevilla FC,26,81
N. Kalinić,ST,Milan,29,81
Lucas Pérez,ST,RC Deportivo de La Coruña,28,81
K. Mitroglou,ST,Olympique de Marseille,29,81
H. Ben Arfa,ST,Paris Saint-Germain,30,81
A. Gignac,ST,Tigres U.A.N.L.,31,81
W. Rooney,ST,Everton,31,81
Fernando Torres,ST,Atlético Madrid,33,81
S. Eto'o,ST,Antalyaspor,36,81
C. Benteke,ST,Crystal Palace,26,81
H. Son,ST,Tottenham Hotspur,24,82
I. Slimani,ST,Leicester City,29,82
N. Fekir,ST,Olympique Lyonnais,23,82
K. Baldé Diao,ST,AS Monaco,22,82
A. Martial,ST,Manchester United,21,82
C. Bacca,ST,Villarreal CF,30,82
Willian José,ST,Real Sociedad,25,82
T. Werner,ST,RB Leipzig,21,82
M. Balotelli,ST,OGC Nice,26,82
O. Giroud,ST,Arsenal,30,82
J. Hernández,ST,West Ham United,29,82
D. Sturridge,ST,Liverpool,27,82
C. Vela,ST,Real Sociedad,28,82
M. Gómez,ST,VfL Wolfsburg,31,82
Raffael,ST,Borussia Mönchengladbach,32,82
David Villa,ST,New York City Football Club,35,82
C. Immobile,ST,Lazio,27,82
K. Gameiro,ST,Atlético Madrid,30,83
S. Giovinco,ST,Toronto FC,30,83
B. Dost,ST,Sporting CP,28,83
A. Belotti,ST,Torino,23,83
K. Mbappé,ST,Paris Saint-Germain,18,83
M. Icardi,ST,Inter,24,84
E. Džeko,ST,Roma,31,84
Morata,ST,Chelsea,24,84
A. Gómez,ST,Atalanta,29,84
Aduriz,ST,Athletic Club de Bilbao,36,84
Falcao,ST,AS Monaco,31,84
A. Lacazette,ST,Arsenal,26,85
K. Benzema,ST,Real Madrid CF,29,86
D. Mertens,ST,Napoli,30,86
Diego Costa,ST,Chelsea,28,86
T. Müller,ST,FC Bayern Munich,27,86
R. Lukaku,ST,Manchester United,24,86
H. Kane,ST,Tottenham Hotspur,23,86
E. Cavani,ST,Paris Saint-Germain,30,87
P. Aubameyang,ST,Borussia Dortmund,28,88
P. Dybala,ST,Juventus,23,88
Z. Ibrahimović,ST,Manchester United,35,88
S. Agüero,ST,Manchester City,29,89
G. Higuaín,ST,Juventus,29,90
R. Lewandowski,ST,FC Bayern Munich,28,91
L. Suárez,ST,FC Barcelona,30,92
Cristiano Ronaldo,ST,Real Madrid CF,32,94
